 L.A. County rental listings 6-16-2025,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
25555213,,1234,1234   Wilshire Blvd #520,Los Angeles,90017,1,1.00 (1 0 0 0),,,,"$3,000","$3,000","$3,000",920,$3.26,2006,2,In Unit,Call,1+Year,Furnished,213-494-8501,"71,352"
25555071,Townhouse,5720,5720   Owensmouth Ave #148,Woodland Hills,91367,2,1.00 (1 0 0 0),,,,"$3,000","$3,000","$3,000",878,$3.42,1980,2,"In Unit,Laundry Closet Stacked,Inside",Yes,"1+Year,12 Months,24 Months,Negotiable",Unfurnished,818-646-2667,"174,672"
25556269,,1183,1183   CRENSHAW BLVD #201,LOS ANGELES,90019,2,2.00 (1 0 1 0),,,,"$3,000","$3,000","$3,000",,$0,2015,2,In Unit,Call,1-Year,Unfurnished,310-709-6655,"6,552"
GD25114628IT,Condominium,444,444   Piedmont  #306,GLENDALE,91205,2,2.00 (2 0 0 0),50,$0.00,50,"$3,000","$3,000","$3,000","1,141",$2.63,1926,2,"In Kitchen,Laundry Closet Stacked,Stackable W/D Hookup",No,1-Year,Unfurnished,818-209-0537,"87,816,960"
P1-22680PF,Townhouse,21051,21051   Lycoming ST ,WALNUT,91789,3,2.00 (2 0 0 0),,$0.00,,"$3,000","$3,000","$3,000","1,136",$2.64,1975,2,"Electric Dryer Hookup,Hookup - Electric,Inside,Room,Washer Hookup",,,Unfurnished,(213) 810-5465,"14,935"
25556125,,245,245   PINE AVE #402,LONG BEACH,90802,2,2.00 (2 0 0 0),,,,"$3,020",$700,"$3,020",997,$3.03,1992,0,In Unit,Call,1+Year,Unfurnished,833-525-3273,"88,438"
25554467,,2757,2757   Andreo Ave #9,Torrance,90501,2,1.00 (1 0 0 0),,,,"$3,020","$3,295","$3,020",603,$5.01,,0,In Unit,Yes,1+Year,Unfurnished,310-691-6199,0
25555601,,11950,11950   Erwin Street St #B-157,North Hollywood,91606,1,1.00 (1 0 0 0),,,,"$3,021",$750,"$3,021",750,$4.03,,0,In Unit,Call,1+Year,Unfurnished,833-525-3273,"86,735"
25555999,,7141,7141   Santa Monica Blvd #509,West Hollywood,90046,0,1.00 (1 0 0 0),,,,"$3,023",$500,"$3,023",711,$4.25,2016,0,In Unit,Call,1+Year,Unfurnished,833-525-3273,"58,354"
WS25139834MR,Townhouse,3711,3711   Baldwin ST #1903,LOS ANGELES,90031,4,3.00 (2 1 0 0),,$0.00,250,"$3,050","$3,000","$3,050","1,556",$1.96,1994,3,"Dryer,Dryer Included,Garage,Washer,Washer Included",No,1-Year,Unfurnished,626-878-6706,"3,746"
SR25139929MR,,19753,19753   Kittridge ST ,WINNETKA,91306,2,2.00 (2 0 0 0),,$0.00,,"$3,075","$3,075","$3,075",865,$3.55,2025,1,"Dryer,Dryer Included,In Closet,Washer,Washer Included",No,1-Year,Unfurnished,818-522-4481,"6,101"
PV25137546MR,Condominium,670,670   The Village  ,REDONDO BEACH,90277,1,1.00 (1 0 0 0),,$100.00,75,"$3,090","$3,000","$3,090",571,$5.41,1974,4,"Community,Laundry Area",,1-Year,Unfurnished,310-365-6846,"272,965"
SR25133646MR,Apartment,953,953  N Normandie  #205,LOS ANGELES,90029,3,2.00 (2 0 0 0),,$0.00,,"$3,095","$3,295","$3,095","1,150",$2.69,2017,1,Inside,,1-Year,Unfurnished,818-430-7117,"9,050"
25554383,,518,518  N Gramercy Pl #ph18,Los Angeles,90004,2,1.00 (1 0 0 0),,,,"$3,095","$3,095","$3,095",892,$3.47,2019,1,In Unit,Yes,None,Unfurnished,310-473-3000,"4,927"
25555599,,11950,11950   Erwin Street St #327,North Hollywood,91606,1,1.00 (1 0 0 0),,,,"$3,096",$750,"$3,096",744,$4.16,,0,In Unit,Call,1+Year,Unfurnished,833-525-3273,"86,735"
AR25136426MR,Single Family,1108,1108  S Eighth Ave ,ARCADIA,91006,2,2.00 (1 0 1 0),500,"$2,000.00",300,"$3,100","$3,100","$3,100",903,$3.43,1934,2,"Gas Dryer Hookup,Washer Hookup",,"Month-to-Month,Other",Unfurnished,626-203-3355,"9,272"
SR25139281MR,Townhouse,1760,1760 1/2  Las Palmas AVE ,HOLLYWOOD,90028,2,1.00 (1 0 0 0),,$0.00,,"$3,100","$3,100","$3,100",800,$3.88,1936,1,None,,1-Year,Unfurnished,323-356-9387,"11,775"
SR25136548MR,Condominium,149,149   Eagle LN ,PALMDALE,93551,3,3.00 (3 0 0 0),,$500.00,,"$3,300","$3,300","$3,100","2,013",$1.54,1980,2,Room,,1-Year,Unfurnished,661-403-8009,"214,336"
WS25139648MR,Single Family,12741,12741   Bess  ,BALDWIN PARK,91706,3,2.00 (2 0 0 0),,$0.00,,"$3,100","$3,100","$3,100","1,150",$2.70,1973,2,Washer Hookup,,1-Year,Furnished,626-230-2271,"559,702,440"
SB25138296MR,Condominium,8505,8505   Gulana AVE #4213,PLAYA DEL REY,90293,1,1.00 (1 0 0 0),,$0.00,,"$3,150","$3,150","$3,150",744,$4.23,1986,2,"Dryer,Dryer Included,In Closet,Inside,Washer,Washer Included",No,1-Year,Unfurnished,310-890-3698,"96,549"
25555875,Condominium,13126,13126   Union Ave #203,Hawthorne,90250,1,1.00 (1 0 0 0),,,,"$3,150","$3,150","$3,150",890,$3.54,2011,2,"In Unit,Inside,In Closet",Yes,1-Year,Unfurnished,818-577-0476,"26,240"
GD25137749IT,Single Family,10645,10645   Mather AVE ,SUNLAND,91040,2,1.00 (1 0 0 0),,$0.00,,"$3,150","$3,150","$3,150",790,$3.99,1948,1,"Dryer,Dryer Included,Outside,Washer,Washer Included",,1-Year,Unfurnished,818-437-2433,"6,716"
GD25136057IT,Townhouse,223,223  N Adams ST ,GLENDALE,91206,2,3.00 (2 0 1 0),,$0.00,,"$3,150","$3,150","$3,150","1,100",$2.86,1991,2,"Dryer,Dryer Included,In Closet,Washer,Washer Included",,1-Year,Unfurnished,818-469-9388,"7,339"
DW25141110MR,Single Family,8614,8614   Evergreen AVE ,SOUTH GATE,90280,3,1.00 (1 0 0 0),,$0.00,,"$3,150","$3,150","$3,150","1,307",$2.41,1940,0,"Gas Dryer Hookup,In Kitchen,Washer Hookup",No,Other,Unfurnished,323-646-9087,"9,000"
25554381,,834,834  W Duarte Rd #5,Arcadia,91007,51,50.00 (50 0 0 0),,,,"$3,150","$3,150","$3,150","29,129",$0.11,1961,0,None,No,12 Months,Unfurnished,818-726-0922,"89,298"
25554481,,931,931  S Sherbourne Dr #931,Los Angeles,90035,2,1.00 (1 0 0 0),,,,"$3,200","$3,200","$3,200",,$0,1939,1,In Kitchen,Call,1-Year,Both,310-435-3080,"5,187"
25554559,,8905,8905   Nogal Ave ,Whittier,90606,2,1.00 (1 0 0 0),,,,"$3,200","$3,500","$3,200","1,050",$3.05,1956,2,Other,Yes,1+Year,Unfurnished,310-562-5088,"20,059"
25553285,,1239,1239  S Orange Dr ,Los Angeles,90019,1,1.00 (1 0 0 0),,,,"$3,200","$3,200","$3,200",750,$4.27,1924,2,"In Unit,Laundry Area",Call,1+Year,Unfurnished,818-261-6270,"6,290"
IG25140832MR,Single Family,1829,1829   S White Avenue ,POMONA,91766,4,2.00 (2 0 0 0),,$50.00,50,"$3,200","$3,200","$3,200","1,452",$2.20,1956,0,Inside,,1-Year,Unfurnished,,"6,707"
25556317,Apartment,2309,2309   Hauser Blvd #3,Los Angeles,90016,3,2.00 (2 0 0 0),,,,"$3,200","$3,200","$3,200","1,150",$2.78,1965,1,Community,No,1+Year,Unfurnished,310-905-9479,"5,269"
AR25136931MR,Condominium,321,321  N 2nd ST #A,ALHAMBRA,91801,2,3.00 (3 0 0 0),,$0.00,,"$3,200","$6,400","$3,200","1,280",$2.50,2008,0,"Dryer,Dryer Included,Garage,Washer,Washer Included",No,"1-Year,Month-to-Month,Negotiable,Other",Furnished,626-400-8880,"15,680"
SR25135914MR,Townhouse,20439,20439   Paseo Altisse  ,Porter Ranch,91326,2,3.00 (3 0 0 0),,$0.00,,"$3,200","$3,200","$3,200","1,320",$2.42,2009,2,On Upper Level,No,1-Year,Unfurnished,818-674-0218,"80,283"
SB25139173MR,Single Family,8611,8611   Rio Dell Street ,ROSEMEAD,91770,3,2.00 (2 0 0 0),,$0.00,200,"$3,200","$3,500","$3,200","1,200",$2.67,2025,0,"Gas Or Electric Dryer Hookup,Inside,Other",No,1-Year,Unfurnished,310 707-3600,"5,782"
PF25140166PF,Townhouse,1097,1097   Blanche ST #109,PASADENA,91106,2,3.00 (3 0 0 0),,$500.00,100,"$3,200","$3,200","$3,200","1,000",$3.20,1988,4,"Dryer,Dryer Included,Washer,Washer Included",No,"1+Year,1-Year",Furnished,626-537-8585,"38,476"
SR25139852MR,Condominium,1440,1440   Veteran  #208,LOS ANGELES,90024,1,1.00 (1 0 0 0),25,$500.00,25,"$3,200","$2,600","$3,200",661,$4.84,1972,2,Community,,1-Year,Unfurnished,818-326-0273,
SW25139641MR,Townhouse,7929,7929   Blackburn Ave #6,LOS ANGELES,90048,2,1.00 (1 0 0 0),,$100.00,,"$3,200",$0,"$3,200","1,000",$3.20,1947,2,Inside,,1-Year,Unfurnished,626-255-3925,"6,200"
SR25141205MR,Condominium,15457,15457   Moorpark ST #5,SHERMAN OAKS,91403,2,2.00 (2 0 0 0),,$250.00,,"$3,200","$3,200","$3,200","1,071",$2.99,1959,2,"Dryer,Dryer Included,In Closet,Inside,Washer,Washer Hookup,Washer Included",,1-Year,Unfurnished,818-421-5149,"13,063"
TR25140846MR,Single Family,251,251  E Colorado BLVD ,ARCADIA,91006,2,2.00 (2 0 0 0),,$300.00,75,"$3,200","$3,200","$3,200",800,$4,1941,1,Laundry Area,,1-Year,Unfurnished,626-625-2688,"7,136"
TR25139389MR,Single Family,4416,4416   Merced AVE ,BALDWIN PARK,91706,3,3.00 (3 0 0 0),,$500.00,300,"$3,200","$3,200","$3,200","1,502",$2.13,1989,2,Inside,,1-Year,Unfurnished,626-905-2602,"2,128"
WS25139731MR,Condominium,422,422  W Route 66  #1,GLENDORA,91740,3,3.00 (2 0 1 0),100,$100.00,100,"$3,250","$3,250","$3,250","1,620",$2.01,2017,2,"Dryer,Dryer Included,Room,Washer,Washer Included",,1-Year,Unfurnished,626-226-3489,"6,610"
SR25139123MR,Single Family,6930,6930   Enfield AVE ,RESEDA,91335,2,1.00 (1 0 0 0),,"$1,000.00",,"$6,930","$3,250","$3,250",950,$3.42,1950,0,"Dryer,Dryer Included,Outside,Room,Washer,Washer Included",,1-Year,Unfurnished,818-606-6069,"6,510"
GD25138929IT,,720,720  W California AVE ,GLENDALE,91203,2,1.00 (1 0 0 0),,$0.00,,"$3,250","$3,250","$3,250",800,$4.06,1923,0,"Community,Laundry Area",No,1-Year,Unfurnished,818-437-2433,"5,592"
25556083,,245,245   PINE AVE #629,LONG BEACH,90802,2,2.00 (2 0 0 0),,,,"$3,260",$700,"$3,260","1,074",$3.04,1992,0,In Unit,Call,1+Year,Unfurnished,833-525-3273,"88,438"
TR25136768MR,Single Family,711,711   Frandale AVE ,LA PUENTE,91744,3,2.00 (2 0 0 0),,$0.00,,"$3,290","$3,300","$3,290","1,290",$2.55,1959,2,Room,No,1-Year,Unfurnished,909-282-0628,"6,578"
PW25133529MR,Condominium,25949,25949   Stafford Canyon RD #B,STEVENSON RANCH,91381,3,3.00 (3 0 0 0),,$0.00,,"$3,295","$3,295","$3,295","1,667",$1.98,1990,1,"Electric Dryer Hookup,Hookup - Electric,Washer Hookup",,1-Year,Unfurnished,310 999-1797,"46,315"
GD25136987IT,Apartment,827,827  N Adams ST #827 1/2,GLENDALE,91206,2,2.00 (2 0 0 0),,$500.00,,"$3,295","$3,300","$3,295",500,$6.59,1941,0,"Gas Or Electric Dryer Hookup,Washer Hookup",,1-Year,Unfurnished,818-860-3177,"8,194"
GD25140326IT,Apartment,500,500   Jackson PL #317,GLENDALE,91206,2,2.00 (2 0 0 0),,$0.00,,"$3,300","$3,300","$3,300",938,$3.52,1973,4,Community,,1-Year,Unfurnished,,"45,561"
PF25127051PF,Single Family,285,285   Wapello ST ,ALTADENA,91001,2,1.00 (1 0 0 0),,$600.00,50,"$3,300","$3,300","$3,300",564,$5.85,1950,0,"Dryer,Dryer Included,Inside,Washer,Washer Included",,1-Year,Unfurnished,626-818-0980,"35,819"
25555817,Condominium,2803,2803   Arizona Ave ,Santa Monica,90404,2,2.00 (1 1 0 0),,,,"$3,300","$3,300","$3,300",,$0,1970,1,Community,Call,12 Months,Unfurnished,310-422-0005,"16,036"
AR25132793MR,Apartment,5639,5639  N Huntington DR #3,LOS ANGELES,90032,2,2.00 (2 0 0 0),,$0.00,100,"$3,300","$3,200","$3,300",900,$3.67,2023,1,"Gas Dryer Hookup,Inside,Laundry Closet Stacked,Stackable W/D Hookup,Washer Hookup",,1-Year,Unfurnished,626-348-9755,"13,649"
AR25132794MR,Apartment,5639,5639  N Huntington DR #5,LOS ANGELES,90032,2,2.00 (2 0 0 0),,$0.00,100,"$3,300","$3,200","$3,300",900,$3.67,2023,1,"Gas Dryer Hookup,Inside,Laundry Closet Stacked,Stackable W/D Hookup,Washer Hookup",No,1-Year,Unfurnished,626-348-9755,"13,649"
BB25136932MR,Condominium,377,377  W California AVE #3,GLENDALE,91203,2,2.00 (2 0 0 0),,$500.00,,"$3,300","$3,300","$3,300","1,056",$3.13,1979,2,"Dryer,Dryer Included,Washer,Washer Included",,1-Year,Unfurnished,818-497-7223,"19,848"
25542613,Condominium,1100,1100  S Hope St #806,Los Angeles,90015,1,1.00 (1 0 0 0),250,,250,"$3,300","$3,300","$3,300",990,$3.33,2007,1,"In Unit,In Closet",Yes,1+Year,Unfurnished,323-356-6268,"41,217"
25554285,Single Family,1049,1049   Sonora Ave #A,Glendale,91201,2,2.00 (2 0 0 0),,,,"$3,300","$3,300","$3,300",800,$4.13,1925,2,In Unit,No,1+Year,Unfurnished,310-795-2280,"7,573"
WS25140125MR,Condominium,102,102   Harkness AVE #B,PASADENA,91106,2,3.00 (2 0 1 0),100,$500.00,50,"$3,300","$3,300","$3,300","1,106",$2.98,1991,2,"Inside,Room",,1-Year,Unfurnished,626-487-4623,"13,747"
25554305,Condominium,1130,1130  S Flower St #215,Los Angeles,90015,1,2.00 (2 0 0 0),,,,"$3,350","$3,350","$3,350","1,260",$2.66,2003,2,"Laundry Closet Stacked,Inside,In Unit",Yes,"Short Term Lease,6 Months,12 Months",Unfurnished,213-448-0957,"44,583"
25556121,,5950,5950   Buckingham Pkwy #512,Culver City,90230,2,2.00 (2 0 0 0),,$500.00,50,"$3,350","$6,700","$3,350","1,168",$2.87,1970,1,Community,Yes,1+Year,Unfurnished,310-925-6056,"55,123"
25554027,,3657,3657   Motor  #410,Los Angeles,90034,2,2.00 (2 0 0 0),,,,"$3,395","$3,395","$3,395",731,$4.64,,1,In Unit,Yes,1-Year,Unfurnished,310-473-3000,"15,000"
25555317,,605,605  S Barrington Ave #30,Los Angeles,90049,2,1.00 (1 0 0 0),,,,"$3,395","$3,395","$3,395",900,$3.77,1953,1,In Unit,Yes,1-Year,Unfurnished,310-473-3000,"50,414"
25555041,,1951,1951   Pelham Ave #303,Los Angeles,90025,2,2.00 (2 0 0 0),,,,"$3,400","$3,400","$3,400","1,400",$2.43,1987,2,"Other,Community",Call,"1+Year,1-Year,12 Months,24 Months",Unfurnished,310-467-7051,"6,755"
25554567,,420,420   Altair PL #A,VENICE,90291,1,1.00 (1 0 0 0),,,,"$3,400","$3,400","$3,400",480,$7.08,1920,0,Laundry Area,Call,1+Year,Unfurnished,917-972-5373,"2,850"
CV25009624MR,Apartment,901,901 1/2  Micheltorena ST ,LOS ANGELES,90026,2,1.00 (1 0 0 0),,$150.00,,"$3,400","$3,400","$3,400",725,$4.69,2024,0,"Gas Dryer Hookup,Laundry Closet Stacked,Stackable W/D Hookup,Washer Hookup",,1-Year,Unfurnished,818-395-6318,"8,615"
CV25139074MR,Single Family,500,500   Juniper ST ,LA VERNE,91750,3,2.00 (2 0 0 0),,$0.00,,"$3,400","$3,400","$3,400","1,179",$2.88,1984,2,"Gas Dryer Hookup,Washer Hookup",No,1-Year,Unfurnished,,"4,232"
WS25138293MR,Single Family,13805,13805   Cerise Ave ,HAWTHORNE,90250,3,2.00 (2 0 0 0),,$500.00,,"$3,400","$3,400","$3,400","1,112",$3.06,1961,2,Gas Dryer Hookup,,1-Year,Unfurnished,626-557-9914,"9,618"
SR25137161MR,Condominium,6828,6828   Laurel Canyon BLVD #106,NORTH HOLLYWOOD,91605,2,2.00 (2 0 0 0),,$0.00,,"$3,400","$3,400","$3,400","1,171",$2.90,1991,0,Inside,,1-Year,Unfurnished,818-231-1735,"22,468"
SB25139004MR,Apartment,511,511  S Harbor  #518,SAN PEDRO,90731,2,2.00 (2 0 0 0),,$500.00,,"$3,450","$1,000","$3,450",967,$3.57,2024,1,"Dryer,Dryer Included,Washer,Washer Included",,1-Year,Unfurnished,909-289-2693,"33,105"
25554271,,4110,4110  S Normandie Ave ,Los Angeles,90037,3,3.00 (3 0 0 0),,,,"$3,450","$3,450","$3,450","1,305",$2.64,2019,0,In Unit,No,1+Year,Unfurnished,213-675-6407,"6,153"
25554277,,4110,4110 1/2 S Normandie Ave ,Los Angeles,90037,3,3.00 (3 0 0 0),,,,"$3,450","$3,450","$3,450","1,305",$2.64,2019,0,In Unit,No,1+Year,Unfurnished,213-675-6407,"6,153"
25554947,,4170,4170   3rd Ave ,Los Angeles,90008,2,2.00 (2 0 0 0),,,,"$3,350","$3,350","$3,450",890,$3.88,1924,2,In Unit,No,1+Year,Unfurnished,310-853-0335,"5,385"
25556061,,245,245   PINE AVE #507,LONG BEACH,90802,2,2.00 (2 0 0 0),,,,"$3,487",$700,"$3,487",662,$5.27,1992,0,In Unit,Call,1+Year,Unfurnished,833-525-3273,"88,438"
25555569,,10376,10376   Wilmington Ave ,Los Angeles,90002,3,2.00 (2 0 0 0),,,,"$3,490","$3,490","$3,490","1,230",$2.84,2005,2,In Unit,Yes,"1+Year,1-Year,24 Months",Unfurnished,213-590-9908,"3,253"
25554865,,133,133   Swall Dr #302,Beverly Hills,90211,2,2.00 (2 0 0 0),,,,"$3,495","$3,495","$3,495","1,075",$3.25,,1,Community,Call,"1+Year,12 Months",Unfurnished,323-443-6005,0
SR25140077MR,Single Family,520,520   Audubon WAY ,SIERRA MADRE,91024,1,1.00 (1 0 0 0),,$0.00,,"$3,495","$3,495","$3,495",703,$4.97,1917,0,"Gas Dryer Hookup,Washer Hookup",,1-Year,Unfurnished,626-243-3645,"4,387"
SR25139569MR,Condominium,18324,18324   Clark ST #205,TARZANA,91356,2,2.00 (2 0 0 0),,$0.00,,"$3,500","$3,500","$3,500","1,604",$2.18,1981,2,"Dryer,Dryer Included,Washer,Washer Included",,1-Year,Unfurnished,310-597-0179,"83,248"
SR25139803MR,Single Family,37072,37072   Boxleaf RD ,PALMDALE,93550,3,2.00 (2 0 0 0),,$0.00,,"$3,500","$3,500","$3,500","1,228",$2.85,1993,0,Gas Or Electric Dryer Hookup,,1-Year,Unfurnished,818-856-6257,"6,585"
SW25139596MR,Townhouse,1436,1436   S Bedford St #4,LOS ANGELES,90035,2,2.00 (2 0 0 0),,$100.00,,"$3,500",$0,"$3,500",950,$3.68,1964,2,Inside,,1-Year,Unfurnished,626-255-3925,"12,000"
SW25139615MR,Townhouse,1436,1436   S Bedford St #3,LOS ANGELES,90035,2,2.00 (2 0 0 0),,$100.00,,"$3,500",$0,"$3,500",950,$3.68,1964,2,Inside,,1-Year,Unfurnished,626-255-3925,"12,000"
TR25133945MR,Townhouse,1116,1116   Cleghorn DR #B,DIAMOND BAR,91765,3,3.00 (3 0 0 0),,$500.00,200,"$3,300","$3,300","$3,500","1,385",$2.53,1979,2,"Gas Dryer Hookup,Gas Or Electric Dryer Hookup,In Closet,Inside,On Upper Level,Other,Washer Hookup",,1-Year,Unfurnished,626-271-0207,"461,588"
SR25137667MR,Townhouse,10201,10201   Mason AVE #48,CHATSWORTH,91311,2,3.00 (2 0 1 0),,$0.00,,"$3,500","$3,500","$3,500","1,534",$2.28,1980,2,"Dryer,Dryer Included,Gas Dryer Hookup,Inside,On Upper Level,Room,Washer,Washer Hookup,Washer Included",,1-Year,Unfurnished,818-445-6211,"331,997"
SR25136544MR,Single Family,22024,22024   De La Guerra ST ,WOODLAND HILLS,91364,2,1.00 (1 0 0 0),,$500.00,,"$3,500","$5,000","$3,500","1,047",$3.34,1947,2,Room,,1-Year,Unfurnished,818-231-9207,"6,260"
SR25139065MR,Condominium,12916,12916   MOORPARK ST #203,STUDIO CITY,91406,2,2.00 (2 0 0 0),,$500.00,,"$3,500","$3,500","$3,500","1,118",$3.13,2005,2,"Dryer,Dryer Included,Washer,Washer Included",,"1+Year,1-Year",Unfurnished,747-609-7331,"7,151"
SR25139023MR,Condominium,4501,4501   Cedros AVE #126,SHERMAN OAKS,91403,2,2.00 (2 0 0 0),,$0.00,,"$3,500","$3,500","$3,500","1,151",$3.04,1971,2,In Closet,No,1-Year,Unfurnished,818-399-1093,"83,258"
SB25138523MR,,530,530   Avenue F  #A,REDONDO BEACH,90277,2,1.00 (1 0 0 0),,$0.00,,"$3,500","$5,250","$3,500","1,084",$3.23,1958,1,Garage,No,1-Year,Unfurnished,310-292-8182,"6,611"
SB25135790MR,Townhouse,2800,2800   Plaza Del Amo  #46,TORRANCE,90503,2,3.00 (2 0 1 0),,$0.00,,"$3,500","$3,500","$3,500","1,088",$3.22,1989,2,"Dryer,Dryer Included,Washer,Washer Included",,1-Year,Unfurnished,310-905-0215,"155,252"
RS25139120MR,Single Family,20735,20735   Roseton AVE ,LAKEWOOD,90715,3,2.00 (2 0 0 0),,$500.00,,"$3,500","$4,500","$3,500","1,100",$3.18,1962,2,Inside,,1-Year,Unfurnished,562-857-6768,"9,392"
PW25138710MR,Single Family,380,380  E Janice ST ,LONG BEACH,90805,3,2.00 (1 1 0 0),,$0.00,,"$3,500","$3,500","$3,500","1,334",$2.62,1946,1,Inside,No,1-Year,Unfurnished,562-243-5504,"6,810"
WS25138270MR,,425,425   A Gladys AVE ,MONTEREY PARK,91755,3,2.00 (2 0 0 0),,$0.00,,"$3,500","$3,500","$3,500","1,200",$2.92,2025,4,"Gas Dryer Hookup,Washer Hookup",No,1-Year,Unfurnished,626-560-0773,"7,483"
WS25137689MR,Condominium,1701,1701   Cedar Street #5  ,ALHAMBRA,91801,3,3.00 (2 0 1 0),,$0.00,100,"$3,500","$3,500","$3,500","1,350",$2.59,1984,2,"In Closet,In Kitchen",No,1-Year,Unfurnished,626-676-3919,"16,087"
WS25137547MR,Single Family,138,138   Oakwell DR ,WALNUT,91789,4,2.00 (2 0 0 0),,"$1,000.00",200,"$3,500","$3,500","$3,500","1,470",$2.38,1973,2,"Garage,Gas Dryer Hookup,Washer Hookup",,1-Year,Unfurnished,909-569-5915,"7,160"
WS25042300MR,Single Family,15720,15720   Bonsallo AVE ,GARDENA,90247,3,2.00 (2 0 0 0),,$500.00,100,"$3,650","$3,500","$3,500","1,292",$2.71,1956,2,In Closet,,1-Year,Unfurnished,626-786-9086,"6,209"
WS25112942MR,Single Family,763,763  S Los Robles AVE ,PASADENA,91106,2,1.00 (1 0 0 0),,$500.00,,"$3,500","$3,500","$3,500",850,$4.12,1915,1,Garage,,1-Year,Unfurnished,626-824-2898,"2,000"
TR25140097MR,Single Family,1300,1300  S Glenview RD ,WEST COVINA,91791,3,2.00 (2 0 0 0),,$0.00,100,"$3,500","$3,500","$3,500","1,433",$2.44,1956,2,Garage,,1-Year,Unfurnished,909-802-8288,"8,807"
25555245,,1126,1126  N Ardmore Ave ,Los Angeles,90029,2,1.00 (1 0 0 0),,,,"$3,500","$5,000","$3,500",,$0,1921,3,"In Unit,Inside",Call,12 Months,Unfurnished,310-387-2571,"2,750"
AR25135625MR,Single Family,521,521  W 3rd ST ,SAN DIMAS,91773,3,2.00 (2 0 0 0),200,$200.00,20,"$3,500","$3,500","$3,500","1,430",$2.45,1963,0,"Dryer,Dryer Included,Gas Dryer Hookup,Gas Or Electric Dryer Hookup,Washer,Washer Included",,"1+Year,1-Year",,812-650-2982,"7,554"
DW25140723MR,,7314,7314 A  Luxor ST ,DOWNEY,90241,3,2.00 (2 0 0 0),,$0.00,,"$3,500","$3,200","$3,500","1,000",$3.50,1942,0,In Kitchen,No,1-Year,Unfurnished,562-818-6111,"10,388"
P1-22801PF,Townhouse,742,742  S Garfield AVE ,MONTEREY PARK,91754,3,2.00 (2 0 0 0),,$500.00,,"$3,500","$3,500","$3,500","1,447",$2.42,1978,2,Garage,,1-Year,Unfurnished,(626) 665-6321,"1,382"
25555763,Apartment,2801,2801   Sunset PL #608,Los Angeles,90005,1,1.00 (1 0 0 0),,,,"$3,505","$1,000","$3,505",917,$3.82,2021,0,In Unit,Call,1+Year,Unfurnished,833-525-3273,0
P1-22836PF,Condominium,630,630  W Huntington DR #235,ARCADIA,91007,3,2.00 (1 1 0 0),,$750.00,,"$3,550","$4,000","$3,550","1,703",$2.08,1967,2,Community,,1-Year,Unfurnished,(626) 826-4544,"149,034"
SR25138374MR,Single Family,6827,6827   Yolanda AVE ,RESEDA,91335,2,2.00 (2 0 0 0),,$500.00,,"$3,599","$3,600","$3,599",870,$4.14,2024,0,"In Closet,Inside",,1-Year,Unfurnished,424-653-0560,"6,753"
SR25137879MR,Townhouse,20155,20155   Keswick ST #211,WINNETKA,91306,3,3.00 (3 0 0 0),,$0.00,,"$3,600","$3,600","$3,600","1,428",$2.52,1981,1,In Closet,,1-Year,Unfurnished,818-800-9587,"69,486"
PW25138179MR,Condominium,111,111  E Sierra Madre BLVD #E,SIERRA MADRE,91024,2,3.00 (3 0 0 0),,$0.00,,"$3,600","$3,600","$3,600","1,429",$2.52,1974,1,"Garage,Gas Dryer Hookup,Washer Hookup",,1-Year,Unfurnished,562-714-8434,"47,996"
PW25138386MR,Single Family,17040,17040   Ridge Park DR ,HACIENDA HEIGHTS,91745,3,2.00 (2 0 0 0),,$0.00,,"$3,600","$5,000","$3,600","1,500",$2.40,1965,2,"Electric Dryer Hookup,Garage,Gas Or Electric Dryer Hookup,Hookup - Electric,Washer Hookup",No,1-Year,Unfurnished,909-938-7168,"6,340"
PW25135328MR,Townhouse,16424,16424   Whittier BLVD #5,WHITTIER,90603,3,4.00 (3 0 1 0),,$0.00,,"$3,600","$3,600","$3,600","1,558",$2.31,2024,2,"Dryer,Dryer Included,Inside,Room,Washer,Washer Included",No,1-Year,Unfurnished,714-335-9196,"29,921"
WS25138870MR,Townhouse,2022,2022   Illinois ST ,WEST COVINA,91792,3,3.00 (3 0 0 0),,$0.00,100,"$3,600","$3,600","$3,600","1,322",$2.72,1978,2,Inside,No,1-Year,Unfurnished,626-400-0084,"1,304"
DW25139167MR,,9011,9011   Tarryton AVE ,WHITTIER,90605,3,2.00 (2 0 0 0),,$100.00,,"$3,600","$3,600","$3,600","1,038",$3.47,1951,0,In Kitchen,,1-Year,Unfurnished,562-322-6386,"6,202"
DW25139737MR,Single Family,5817,5817   Haas AVE ,LOS ANGELES,90047,3,2.00 (1 0 1 0),,$0.00,,"$3,600","$7,200","$3,600","1,156",$3.11,1923,2,"Gas Dryer Hookup,Inside,Room,Washer Hookup",No,1-Year,Unfurnished,310-743-6921,"4,393"
GD25138598IT,Condominium,356,356  W California AVE #15,GLENDALE,91203,2,2.00 (2 0 0 0),,$700.00,,"$3,600","$3,600","$3,600","1,215",$2.96,1982,2,Inside,,1-Year,Unfurnished,818-427-1772,"21,039"
